shape	Ip	Fp	N_x	N_y	D	A	B	beta	E	COF	LCC	h_min
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.5	0.052978257802590786	87.61533940814637	3.7500699710966e-05
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.6	0.035372881769590726	138.53568905516784	3.0001523373884887e-05
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.7	0.022970313666633838	233.14382179895645	2.2500430912040633e-05
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.8	0.013841057164683266	449.7241184910207	1.5001479153000828e-05
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.9	0.006899180220210509	1218.242669240561	7.500003394307541e-06
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.91	0.006292742161904117	1402.9782594176668	6.7502781095549325e-06
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.92	0.005690450088817778	1638.796105587728	6.001452022334049e-06
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.93	0.005096888791251501	1948.4211437513613	5.251275599287702e-06
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.94	0.0045104220021615505	2370.1663457573563	4.500011213440213e-06
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.95	0.003926973266164716	2973.920870591233	3.752388978958759e-06
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.96	0.0033316563022055706	3901.7114273045568	3.0004592026063006e-06
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.97	0.0027311089127590596	5487.056268035407	2.2501607359635326e-06
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.98	0.0020986047405418826	8755.524654548066	1.5023171621256186e-06
C-5	0	0.23	3	10	0.0001005	0.0005	0	0	0.985	0.0017578381196976163	12090.0704470208	1.1251809055996014e-06
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.1	0.7004538297421524	6.506875597509881	6.750011232556644e-05
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.2	0.16745170958305594	26.73368566154805	6.000022363343012e-05
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.3	0.09310178748985638	47.88503858089088	5.250039633847815e-05
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.4	0.05556923657371173	81.37760207978062	4.500012607611871e-05
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.5	0.03153354911161221	147.70934141586199	3.750018578193302e-05
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.6	0.019671630590993024	253.71972472878133	3.000054108167758e-05
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.7	0.016937194761786793	334.31161123293464	2.2501116616970146e-05
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.8	0.015176049903225498	461.5429521231831	1.500125320577326e-05
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.9	0.00779378516904308	1223.972388364195	7.5020602875847765e-06
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.91	0.00708368654064678	1407.9587849378968	6.7522434947588415e-06
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.92	0.006386441708607153	1642.6631046363516	6.001607168613973e-06
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.93	0.005684257596838168	1951.446605020325	5.250456174006831e-06
C-6	240	0.23	3	10	0.0001005	0.0005	0	0	0.94	0.004998211899384624	2372.6113375463688	4.500119774325919e-06
